url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/shows\/hack-my-life-inside-hacks\/season-1\/episode-4\/the-world-of-hacks,WatchAction,en,US,2020-04-06T11:01:00+00:00,2020-05-01T07:59:06+00:00,TBS,TVE
\/shows\/billy-on-the-street\/season-5\/episode-10\/the-ny-bubble-with-stephen-colbert,WatchAction,en,US,2018-10-01T11:00:00+00:00,2020-10-26T11:00:00+00:00,TBS,TVE
\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-153\/the-alliance,WatchAction,en,US,2020-04-03T05:30:00+00:00,2021-01-22T09:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-3\/episode-13\/jokers-playhouse,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/those-who-cant\/season-2\/episode-4\/8-mile-high,WatchAction,en,US,2019-07-29T11:00:00+00:00,2020-10-05T11:00:59+00:00,TBS,TVE
\/shows\/adam-ruins-everything\/season-2\/episode-1\/adam-ruins-having-a-baby,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-1\/episode-1\/pay-it-forward,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/billy-on-the-street\/season-1\/episode-10\/joan-rivers-gets-quizzed-in-the-face,WatchAction,en,US,2018-10-01T11:00:00+00:00,2020-10-26T11:00:00+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-5\/episode-6\/the-good-the-bad-and-the-punished,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers-after-party\/season-2\/episode-6\/hell-on-wheels,WatchAction,en,US,2020-02-01T10:00:00+00:00,2020-04-24T07:59:59+00:00,TBS,TVE
