bot_system,bot_version,bot_country,capture_date,is_movie,offer_type,series_title,season_number,episode_number,program_title,provider_release_date,provider_cease_date,viewable_runtime,maturity_rating,original_language,series_url,program_url,series_source_id,source_id,provider_original
tbs,1.0.0,US,05/08/2020,0,TVE,The Detour,4,5,The Year,05/07/2020,05/14/2020,1226,TV-MA,en,http://www.tbs.com/shows/the-detour,http://www.tbs.com/shows/the-detour/season-4/episode-5/the-year,2062570,2170482,1
tbs,1.0.0,US,05/08/2020,0,TVE,Miracle Workers: Dark Ages,2,1,Graduation,05/01/2020,05/11/2020,1291,TV-MA,en,http://www.tbs.com/shows/miracle-workers-dark-ages,http://www.tbs.com/shows/miracle-workers-dark-ages/season-2/episode-1/graduation,100025,2197281,1
tbs,1.0.0,US,05/08/2020,0,TVE,Miracle Workers: Dark Ages,2,2,Help Wanted,05/01/2020,05/11/2020,1291,TV-MA,en,http://www.tbs.com/shows/miracle-workers-dark-ages,http://www.tbs.com/shows/miracle-workers-dark-ages/season-2/episode-2/help-wanted,100025,2197282,1
tbs,1.0.0,US,05/08/2020,0,TVE,Miracle Workers: Dark Ages,2,3,Road Trip,05/01/2020,05/11/2020,1219,TV-MA,en,http://www.tbs.com/shows/miracle-workers-dark-ages,http://www.tbs.com/shows/miracle-workers-dark-ages/season-2/episode-3/road-trip,100025,2197283,1
tbs,1.0.0,US,05/08/2020,0,TVE,Miracle Workers: Dark Ages,2,4,Internship,05/01/2020,05/11/2020,1194,TV-MA,en,http://www.tbs.com/shows/miracle-workers-dark-ages,http://www.tbs.com/shows/miracle-workers-dark-ages/season-2/episode-4/internship,100025,2197284,1
tbs,1.0.0,US,05/08/2020,0,TVE,Miracle Workers: Dark Ages,2,5,Holiday,05/01/2020,05/11/2020,1237,TV-14,en,http://www.tbs.com/shows/miracle-workers-dark-ages,http://www.tbs.com/shows/miracle-workers-dark-ages/season-2/episode-5/holiday,100025,2197285,1
tbs,1.0.0,US,05/08/2020,0,TVE,Angie Tribeca,3,1,"Welcome Back, Blotter",05/08/2020,05/15/2020,1261,TV-14,en,http://www.tbs.com/shows/angie-tribeca,http://www.tbs.com/shows/angie-tribeca/season-3/episode-1/welcome-back-blotter,2022288,2094377,1
tbs,1.0.0,US,05/08/2020,0,TVE,Angie Tribeca,3,2,Murder Gras,05/08/2020,05/15/2020,1263,TV-14,en,http://www.tbs.com/shows/angie-tribeca,http://www.tbs.com/shows/angie-tribeca/season-3/episode-2/murder-gras,2022288,2094379,1
tbs,1.0.0,US,05/08/2020,0,TVE,Angie Tribeca,3,3,Brockman Turner Overdrive,05/08/2020,05/15/2020,1217,TV-14,en,http://www.tbs.com/shows/angie-tribeca,http://www.tbs.com/shows/angie-tribeca/season-3/episode-3/brockman-turner-overdrive,2022288,2094378,1
tbs,1.0.0,US,05/08/2020,0,TVE,Angie Tribeca,3,4,"Turn Me On, Geils",05/08/2020,05/15/2020,1261,TV-14,en,http://www.tbs.com/shows/angie-tribeca,http://www.tbs.com/shows/angie-tribeca/season-3/episode-4/turn-me-on-geils,2022288,2094380,1
tbs,1.0.0,US,05/08/2020,0,TVE,Angie Tribeca,3,5,"This Sounds Unbelievable, but CSI: Miami Did It",05/08/2020,05/15/2020,1264,TV-14,en,http://www.tbs.com/shows/angie-tribeca,http://www.tbs.com/shows/angie-tribeca/season-3/episode-5/this-sounds-unbelievable-but-csi-miami-did-it,2022288,2094381,1
tbs,1.0.0,US,05/08/2020,0,TVE,2 Broke Girls,6,6,And the Rom-Commie,05/07/2020,05/14/2020,1232,TV-14,en,http://www.tbs.com/shows/2-broke-girls,http://www.tbs.com /shows/2-broke-girls/season-6/episode-6/and-the-rom-commie,861915,2092452,0
tbs,1.0.0,US,05/08/2020,0,TVE,The Misery Index,1,1,That Milk Must Have Turned by Now,05/01/2020,10/18/2020,1321,TV-14,en,http://www.tbs.com/miseryindex,http://www.tbs.com/shows/the-misery-index/season-1/episode-1/that-milk-must-have-turned-by-now,2184043,2184050,0
tbs,1.0.0,US,05/08/2020,0,TVE,The Misery Index,1,2,Men of Intellect,05/01/2020,10/18/2020,1260,TV-14,en,http://www.tbs.com/miseryindex,http://www.tbs.com/shows/the-misery-index/season-1/episode-2/men-of-intellect,2184043,2184053,0
tbs,1.0.0,US,05/08/2020,0,TVE,The Misery Index,1,3,He's Crushing His Man Cave Game,05/01/2020,10/18/2020,1260,TV-14,en,http://www.tbs.com/miseryindex,http://www.tbs.com/shows/the-misery-index/season-1/episode-3/hes-crushing-his-man-cave-game,2184043,2184049,0
tbs,1.0.0,US,05/08/2020,0,TVE,The Misery Index,1,4,How Did It Get in There?,05/01/2020,10/18/2020,1260,TV-14,en,http://www.tbs.com/miseryindex,http://www.tbs.com/shows/the-misery-index/season-1/episode-4/how-did-it-get-in-there,2184043,2184052,0
tbs,1.0.0,US,05/08/2020,0,TVE,The Misery Index,1,5,You Better Watch Your Filthy Mouth,05/01/2020,10/18/2020,1260,TV-14,en,http://www.tbs.com/miseryindex,http://www.tbs.com/shows/the-misery-index/season-1/episode-5/you-better-watch-your-filthy-mouth,2184043,2184047,0
tbs,1.0.0,US,05/08/2020,0,TVE,The Misery Index,1,6,We Got That D!,05/01/2020,10/18/2020,1260,TV-14,en,http://www.tbs.com/miseryindex,http://www.tbs.com/shows/the-misery-index/season-1/episode-6/we-got-that-d,2184043,2184051,0
tbs,1.0.0,US,05/08/2020,0,TVE,The Misery Index,1,7,So That's Murder Then?,05/01/2020,10/18/2020,1261,TV-14,en,http://www.tbs.com/miseryindex,http://www.tbs.com/shows/the-misery-index/season-1/episode-7/so-thats-murder-then,2184043,2184046,0
tbs,1.0.0,US,05/08/2020,0,TVE,The Misery Index,1,8,"If My Grandmother Was That Hot, I'd Go for Her Too",05/01/2020,10/18/2020,1260,TV-14,en,http://www.tbs.com/miseryindex,http://www.tbs.com/shows/the-misery-index/season-1/episode-8/if-my-grandmother-was-that-hot-id-go-for-her-too,2184043,2184044,0
tbs,1.0.0,US,05/08/2020,0,TVE,The Misery Index,1,9,Check Out This Sucker!,05/01/2020,10/18/2020,1260,TV-14,en,http://www.tbs.com/miseryindex,http://www.tbs.com/shows/the-misery-index/season-1/episode-9/check-out-this-sucker,2184043,2184045,0
