bot_system,bot_version,bot_country,capture_date,is_movie,offer_type,series_title,season_number,episode_number,program_title,provider_release_date,provider_cease_date,viewable_runtime,maturity_rating,original_language,series_url,program_url,series_source_id,source_id,is_original
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Walking Tall [Uncut],03/01/2020,05/13/2020,5186,PG-13,en,,http://www.tntdrama.com/movies/walking-tall-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Focus [Uncut],04/10/2020,05/11/2020,6290,R,en,,http://www.tntdrama.com/movies/focus-theatrical,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,300: Rise of an Empire,04/15/2020,05/01/2020,5165,R,en,,http://www.tntdrama.com/movies/300-rise-of-an-empire,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Wild Wild West [Uncut],04/01/2020,05/01/2020,6364,PG-13,en,,http://www.tntdrama.com/movies/wild-wild-west-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Blades of Glory [Uncut],03/01/2020,05/01/2020,5591,PG-13,en,,http://www.tntdrama.com/movies/blades-of-glory-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,The Dark Knight Rises [Uncut],04/01/2020,05/01/2020,9877,PG-13,en,,http://www.tntdrama.com/movies/the-dark-knight-rises-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Vacation [Uncut],04/01/2020,05/01/2020,5952,TV-MA,en,,http://www.tntdrama.com/movies/vacation-theatrical,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Ted [Uncut],02/15/2020,05/14/2020,6372,R,en,,http://www.tntdrama.com/movies/ted-uncut,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,Keanu,04/01/2020,05/01/2020,5995,R,en,,http://www.tntdrama.com/movies/keanu-theatrical,,,
tntdrama,1.0.0,US,04/19/2020,1,TVE,,,,One for the Money [Uncut],04/01/2020,05/01/2020,5479,PG-13,en,,http://www.tntdrama.com/movies/one-for-the-money-theatrical,,,
tbs,1.0.0,US,04/19/2020,0,TVE,The Detour,4,6,The Game Show,04/16/2020,04/23/2020,1225,TV-MA,en,http://www.tbs.com/shows/the-detour,http://www.tbs.com/shows/the-detour/season-4/episode-6/the-game-show,2062570,2170483,1
tbs,1.0.0,US,04/19/2020,0,TVE,The Detour,4,7,The Entertainer,04/16/2020,04/23/2020,1266,TV-MA,en,http://www.tbs.com/shows/the-detour,http://www.tbs.com/shows/the-detour/season-4/episode-7/the-entertainer,2062570,2170484,1
